Org_name,Latitude,Longitude,Street_address,Area of the city,zip,City,state,Division,Subdivision,Category,Website
Metropolitan Family Services,41.7071503,-87.6172774,235 E 103Rd St,Roseland,60628,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7302877,-87.5488832,3062 E 91St St,South Chicago,60617,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7754406,-87.6093209,6543 S Champlain Ave,Woodlawn,60637,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.776343,-87.7032237,6422 S Kedzie Ave,Chicago Lawn,60629,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.778596,-87.7195731,3843 W 63Rd St,West Lawn,60629,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.778596,-87.7195731,3843 W 63Rd Street,West Lawn,60629,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7788532,-87.7037811,3215 W 63Rd St,Chicago Lawn,60629,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.796572,-87.6599405,5338 S Loomis Blvd,New City,60609,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.8820298,-87.6292564,1 N Dearborn Street,Loop,60602,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.8820298,-87.6292564,1 N Dearborn St,Loop,60629,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.9400652,-87.7664048,3249 N Central Avenue,Portage Park,60634,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.9402413,-87.7664112,3255 N Central Ave,Portage Park,60634,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
K.L.E.O. Community Family Life Center,41.794097,-87.621743,119 E Garfield Blvd,,60637,Chicago,Illinois,Job Training and Placement Supports,Career Development,Employment retention ,
Leave No Veteran Behind Incorporated,41.881397,-87.631864,19 S Lasalle St,,60603,Chicago,Illinois,Job Training and Placement Supports,Career Development,Transitional Jobs,https://www.leavenoveteranbehind.org/retroactive-scholarship
Lawyers' Committee For Better Housing,41.882827,-87.632047,33 North Lasalle Street,,60602,Chicago,Illinois,Stabilization Supports,Community/Social,Advocacy,http://lcbh.org/
Life-Span,41.885742,-87.629801,70 Lake St #700,,60601,Chicago,Illinois,Stabilization Supports,Community/Social,Advocacy,http://life-span.org/services/counseling-services
Childserv,41.9871006,-87.8459179,8766 W Higgins Rd,O'Hare,60631,Chicago,Illinois,Stabilization Supports,Community/Social,Case management,http://www.childserv.org/
Chinese American Service League,41.854391,-87.63558,2151 S Tan Ct,,60616,Chicago,Illinois,Stabilization Supports,Community/Social,Case management,https://www.caslservice.org/
Featherfist,41.7304536,-87.6073019,9020 S Langley Ave,Chatham,,Chicago,Illinois,Stabilization Supports,Community/Social,Case management,http://www.featherfist.org/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Community/Social,Case management,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization Supports,Community/Social,Case management,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization Supports,Community/Social,Case management,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Community/Social,Case management,http://howardarea.org/adults/
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Community/Social,Case management,http://www.habilitative.org/hsiservices/adultservicesmenu
House of Mercy & Grace Organization,41.863862,-87.6589042,1345 S Throop St,Near West Side,,Chicago,Illinois,Stabilization Supports,Community/Social,Case management ,
United Way Lake County,41.8858502,-87.6423475,560 W Lake St,West Loop,60661,Chicago,Illinois,Stabilization Supports,Community/Social,Case management ,
Alliance of the Southeast,41.7280317,-87.5514868,9205 S Commercial Ave,South Chicago,60617,Chicago,Illinois,Stabilization supports,Community/Social,Community development,http://www.asechicago.org/
Chicago Community Trust,41.886472,-87.62375,225 N Michigan Ave,New East Side,60601,Chicago,Illinois,Stabilization supports,Community/Social,Community development,http://cct.org/what-we-offer/
"DuSable Museum of African American History, Inc",41.7918682,-87.6072194,740 E 56Th Pl,Washington Park,60637,Chicago,Illinois,Stabilization supports,Community/Social,Community development,https://www.dusablemuseum.org/
Eighteenth Street Development Corporation,41.8567979,-87.6529329,1843 S Carpenter St,Lower West Side,,Chicago,Illinois,Stabilization supports,Community/Social,Community development,
I Grow Chicago,41.777353,-87.670586,6402 S Honore St,West Englewood,60636,Chicago,Illinois,Stabilization supports,Community/Social,Community development,http://www.igrowchicago.org/programs/
Lookingglass Theater Company ,41.897369,-87.623796,821 N Michigan Ave,Near North Side,60611,Chicago,Illinois,Stabilization supports,Community/Social,Community development,https://lookingglasstheatre.org/
"Mikva Challenge Grant Foundation, Inc. dba Mikva Challenge",41.8774802,-87.6244466,332 S Michigan Ave,Loop,60604,Chicago,Illinois,Stabilization supports,Community/Social,Community development,http://www.mikvachallenge.org/
Nobel Neighbors,41.9056131,-87.7286412,1345 N Karlov Ave,Humboldt Park,,Chicago,Illinois,Stabilization supports,Community/Social,Community development,https://nobelneighbors.org/about/
Austin People's Action Center,41.8947084,-87.7540449,5127 W Chicago Ave,Austin,60644,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://austinpeoplesactioncenter.org/programs/
Childserv,41.9871006,-87.8459179,8767 W Higgins Rd,O'Hare,60631,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://www.childserv.org/
Chinese American Service League,41.854391,-87.63558,2152 S Tan Ct,,60616,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,https://www.caslservice.org/
Common Threads,41.8882441,-87.6353879,225 W Merchandise Mart,Near North Side,60654,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://www.commonthreads.org/
"Family Focus, Inc.",41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://www.family-focus.org/how-we-help/programs-services
Family Rescue Inc,41.7280317,-87.5514868,9208 S Commercial Ave,North Lawndale,,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,https://familyrescueinc.org/programs-services/ridgeland-apartments-daycare/
Life-Span,41.885742,-87.629801,70 Lake St #700,,60601,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://life-span.org/services/counseling-services
"Mikva Challenge Grant Foundation, Inc. dba Mikva Challenge",41.8774802,-87.6244466,332 S Michigan Ave,Loop,60604,Chicago,Illinois,Stabilization supports,Community/Social,Community education services,http://www.mikvachallenge.org/
Agape Community Center,41.6927211,-87.6319899,342 W 111Th St,Roseland,60628,Chicago,Illinois,Stabilization Supports,Community/Social,Community service / community development opportunities,
Casa Michoacan,41.8587856,-87.6607607,1638 S Blue Island,Lower West Side,60608,Chicago,Illinois,Stabilization Supports,Community/Social,Community service / community development opportunities,
Heritage Ministry Center,41.9098273,-87.7584252,5308 W North Ave,Austin,60639,Chicago,Illinois,Stabilization Supports,Community/Social,Community service / community development opportunities,
New Covenant Community Development,41.8678192,-87.7103225,1111 S Homan Ave,North Lawndale,60624,Chicago,Illinois,Stabilization Supports,Community/Social,Community service / community development opportunities,
Roseland Business Development Council,41.6871859,-87.620535,11361 S Michigan Ave,Roseland,60628,Chicago,Illinois,Stabilization Supports,Community/Social,Community service / community development opportunities,
Childserv,41.9871006,-87.8459179,8768 W Higgins Rd,O'Hare,60631,Chicago,Illinois,Stabilization supports,Community/Social,Foster care placement,http://www.childserv.org/
Envision Unlimited - Halas Vocation Center,41.7387708,-87.6415504,8569 S Vincennes Ave,Auburn Gresham,60620,Chicago,Illinois,Stabilization supports,Community/Social,Foster care placement,http://www.envisionunlimited.org/
Chinese American Service League,41.854391,-87.63558,2153 S Tan Ct,,60616,Chicago,Illinois,Stabilization Supports,Community/Social,Interpretation services ,https://www.caslservice.org/
"Family Focus, Inc.",41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Stabilization Supports,Community/Social,Interpretation services ,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Stabilization Supports,Community/Social,Interpretation services ,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Stabilization Supports,Community/Social,Interpretation services ,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Stabilization Supports,Community/Social,Interpretation services ,http://www.family-focus.org/how-we-help/programs-services
Action Now,41.878272,-87.6480603,821 W Jackson Blvd,Near West Side,60607,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://www.actionnow.org/
"Family Focus, Inc.",41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://www.family-focus.org/how-we-help/programs-services
Holy Family Ministries,41.869694,-87.711774,3415 W Arthington St,,60624,Chicago,Illinois,Stabilization Supports,Community/Social,Violence prevention,http://www.holyfamilyministries.org/
Holy Family Ministries,41.869694,-87.711774,3415 W Arthington St,,60624,Chicago,Illinois,Stabilization Supports,Community/Social,Violence prevention,
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,http://howardarea.org/adults/
Neopolitan Lighthouse ,41.897447,-87.710235,864 N Christiana Ave,Humboldt Park,,Chicago,Illinois,Stabilization supports,Community/Social,Violence prevention,https://www.nhschicago.org/
Uhlich Children's Advantage Network dba UCANæ,41.8585365,-87.7089497,1615 S Christiana Ave,North Lawndale,60623,Chicago,Illinois,Stabilization Supports,Community/Social,Violence prevention,
Uhlich Children's Advantage Network dba UCANæ,41.8678031,-87.710441,1111 S Homan Ave,North Lawndale,60624,Chicago,Illinois,Stabilization Supports,Community/Social,Violence prevention,
Uhlich Children's Advantage Network dba UCANæ,41.9496101,-87.6991899,3737 N Mozart St,Irving Park East,60618,Chicago,Illinois,Stabilization Supports,Community/Social,Violence prevention,
Family Rescue Inc,41.7280317,-87.5514868,9209 S Commercial Ave,North Lawndale,,Chicago,Illinois,Stabilization Supports,Financial,Cash assistance or financial loans,https://familyrescueinc.org/programs-services/ridgeland-apartments-daycare/
Neighborhood Housing Services,41.7789875,-87.6889756,2609 W 63Rd St,Chicago Lawn,,Chicago,Illinois,Stabilization Supports,Financial,Cash assistance or financial loans,https://www.nhschicago.org/
Neighborhood Housing Services,41.6942149,-87.6205519,11001 S Michigan Ave,Roseland,60628,Chicago,Illinois,Stabilization Supports,Financial,Cash assistance or financial loans,https://www.nhschicago.org/
Neighborhood Housing Services,41.8943769,-87.7648595,757 N Central Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Financial,Cash assistance or financial loans,https://www.nhschicago.org/
Westside Interracial Development Association,41.882198,-87.7604734,5403 W Washington Blvd,Austin,60644,Chicago,Illinois,Stabilization Supports,Financial,Cash assistance or financial loans,
Action Now,41.878272,-87.6480603,822 W Jackson Blvd,Near West Side,60607,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,http://www.actionnow.org/
Big Shoulders Fund ,41.8769746,-87.6341629,214 W Van Buren,Loop,60607,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,http://www.bigshouldersfund.org/our-programs/
Chicago Urban League,41.768594,-87.6462336,848 W 69Th St,Englewood,,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,
Chicago Urban League,41.768594,-87.6462336,849 W 69Th St,Englewood,,Chicago,Illinois,Stabilization Supports,Financial,Financial literacy,
Chinese American Service League,41.854391,-87.63558,2154 S Tan Ct,,60616,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,https://www.caslservice.org/
Housing Opportunities for Women,42.019196,-87.671522,1607 Howard St ,,60626,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,https://www.how-inc.org/services
Lawyers' Committee For Better Housing,41.882827,-87.632047,33 North Lasalle Street,,60602,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,http://lcbh.org/
Neighborhood Housing Services,41.7789875,-87.6889756,2609 W 63Rd St,Chicago Lawn,,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,https://www.nhschicago.org/
Neighborhood Housing Services,41.6942149,-87.6205519,11001 S Michigan Ave,Roseland,60628,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,https://www.nhschicago.org/
Neighborhood Housing Services,41.8943769,-87.7648595,757 N Central Ave,Austin,60644,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,https://www.nhschicago.org/
Neopolitan Lighthouse ,41.897447,-87.710235,864 N Christiana Ave,Humboldt Park,,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,https://www.nhschicago.org/
North Lawndale Employment Network,41.8727918,-87.7191716,3726 W Flournoy St,East Garfield Park,,Chicago,Illinois,Stabilization supports,Financial,Financial literacy,http://www.nlen.org/programs/
Westside Interracial Development Association,41.882198,-87.7604734,5403 W Washington Blvd,Austin,60644,Chicago,Illinois,Stabilization Supports,Financial,Financial literacy,
Big Shoulders Fund ,41.8769746,-87.6341629,215 W Van Buren,Loop,60607,Chicago,Illinois,Stabilization Supports,Financial,Financial options for education,http://www.bigshouldersfund.org/our-programs/
Chicago Job Corps Center,41.8319456,-87.7080314,3353 S Kedzie Ave,South Lawndale,60623,Chicago,Illinois,Stabilization Supports,Financial,Financial options for education,https://paulsimonchicago.jobcorps.gov/node/21
Circesteem Inc.,41.968157,-87.655004,4734 N Sheridan Rd,,60640,Chicago,Illinois,Stabilization Supports,Financial,Financial options for education,http://circesteem.org/services/circesteem-scholarship-fund/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Financial,Financial options for education,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization Supports,Financial,Financial options for education,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization Supports,Financial,Financial options for education,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Financial,Financial options for education,http://howardarea.org/adults/
Leave No Veteran Behind Incorporated,41.881397,-87.631864,19 S Lasalle St,,60603,Chicago,Illinois,Stabilization Supports,Financial,Financial options for education,https://www.leavenoveteranbehind.org/retroactive-scholarship
United Way Lake County,41.8858502,-87.6423475,560 W Lake St,West Loop,60661,Chicago,Illinois,Stabilization Supports,Financial,Financial literacy,
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Stabilization Supports,Financial,Public benefits assistance,
Alternative Schools Network,41.9631175,-87.6748518,1818 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://www.asnchicago.org/ys3
